,rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
0,137068050,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,2.0,,0.54348296,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,2.0654395
1,147461190,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4.0,,1.2128379,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.131902,Not a victim of crime,Not at all common,Not at all common,Not at all common,
2,137116250,A (Experiences of the police),Female,20 years or longer,No,No,Rent it,Widowed,55-64,White,Degree or diploma,Urban,1.0,,0.5696113,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,-0.23594216
3,147354190,C (Crime prevention and security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,1.0,,0.99429625,,,,,Fairly worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.2575738,Victim of crime,Not at all common,Not at all common,Not at all common,
4,137061230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Widowed,65-74,White,None,Rural,3.0,,0.4102766,,,,,Fairly worried,Fairly worried,,,Fairly worried,Fairly worried,Not very worried,1.184152,Not a victim of crime,Not very common,Not very common,Not very common,
5,136898230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,O level/GCSE,Urban,2.0,,1.2028275,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.8226912,Not a victim of crime,Not at all common,Not at all common,Not at all common,
6,135507330,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Rent it,Married/Civil Partnered,45-54,White,None,Urban,1.0,,1.9889096,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.2152667
7,136450220,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5.0,,1.1246084,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
8,136111200,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4.0,,0.71423435,G. Unemployment,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
9,136599250,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Rural,5.0,,0.7388653,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
